sol,target,Easting,Northing,Easting,Latitude,Longitude,Easting Offset from Ronan,Northing Offset from Ronan,start_time,gnorm,sh_tavg,lifetime,Fe_FWHM,Na2O,Na2O_err,MgO,MgO_err,Al2O3,Al2O3_err,SiO2,SiO2_err,P2O5,P2O5_err,SO3,SO3_err,Cl,Cl_err,K2O,K2O_err,CaO,CaO_err,TiO2,TiO2_err,Cr2O3,Cr2O3_err,MnO,MnO_err,FeO,FeO_err,Ni,Ni_err,Zn,Zn_err,Br,Br_err,source_edrs,planning_target,
922,Telegraph_Peak_DT,-276430.9275,8143005.906,-276430.9275,137.377490560204,-4.66352265376194,438.405,283.0871,00922M19:13:20,74.5,-33.9,5:34:13,151.3,3.56,0.14,3.04,0.08,11.06,0.29,51.87,0.54,1.27,0.07,1.85,0.05,0.34,0.01,0.97,0.04,4.03,0.04,1.28,0.05,0.4,0.01,0.25,0.02,19.85,0.26,423,24,1212,40,93,5,APB_479382097ESC09220450450_______M1.DAT:APB_479397097ESC09230450450_______M1.DAT,,
842,San_Andreas,-276433.1426,8143011.608,-276433.1426,137.377490391539,-4.6635240014006,444.107,280.872,00842M19:32:00,96.2,-38.6,8:00:00,148.2,2.42,0.14,6.04,0.17,8.78,0.19,39.78,0.43,0.89,0.05,9.08,0.1,1.45,0.02,0.24,0.01,12.7,0.14,0.84,0.03,0.13,0.01,0.4,0.02,17.05,0.2,509,30,861,30,322,10,APB_472281295ESC08420442414_______M1.DAT:APB_472296115ESC08430442414_______M1.DAT,,
853,Tecoya_DRT,-276433.2225,8143011.598,-276433.2225,137.377317981497,-4.66372261871322,444.097,280.7921,00853M18:26:33,94.5,-26.1,4:00:00,156.2,3.02,0.14,6.66,0.17,9.52,0.29,42.84,0.54,1.06,0.07,4.58,0.08,2.01,0.03,0.46,0.02,8.75,0.1,1.04,0.03,0.17,0.01,0.42,0.02,19.17,0.2,494,24,925,30,653,20,APB_473253778ESC08530442414_______M1.DAT:APB_473268599ESC08540442414_______M1.DAT,,
930,Coalville,-276444.9983,8143001.376,-276444.9983,137.377317644166,-4.66372266256629,433.875,269.0163,00930M19:32:36,48.6,-34.2,4:30:00,151.1,1.5,0.07,5.65,0.17,5.29,0.19,30.93,0.32,0.88,0.05,12.18,0.12,1.66,0.03,0.09,0.01,25.26,0.27,0.52,0.02,0.19,0.01,0.9,0.02,14.61,0.2,559,30,1938,60,188,10,APB_480093481ESC09300450852_______M1.DAT:APB_480108301ESC09310450852_______M1.DAT,,
935,Indianola,-276445.0009,8143001.356,-276445.0009,137.377293828574,-4.66372798059468,433.855,269.0137,00936M04:16:05,61.9,-60.3,4:00:00,155.6,1.33,0.07,3.95,0.08,2.92,0.1,14.41,0.21,0.64,0.05,40.78,0.43,0.72,0.02,0.11,0.01,29.71,0.31,0.18,0.02,0.11,0.01,0.1,0.02,4.91,0.07,142,10,520,20,76,5,APB_480569625ESC09360450852_______M1.DAT:APB_480554805ESC09360450852_______M1.DAT,,
948,Kern_Peak,-276445.3162,8142999.944,-276445.3162,137.377243110809,-4.66385115038247,432.443,268.6984,00948M21:51:07,51.9,-41.4,7:30:00,146.3,1.9,0.07,4.86,0.17,4.64,0.1,47.59,0.54,2.72,0.14,7.72,0.1,1.43,0.02,1.17,0.04,2.87,0.04,0.59,0.03,0.63,0.01,0.16,0.02,23.42,0.26,309,20,430,15,478,15,APB_481703738ESC09490451108_______M1.DAT:APB_481713279ESC09490451108_______M2.DAT,,
942,Little_Devil,-276452.6188,8142996.937,-276452.6188,137.375358744277,-4.66529631489812,429.436,261.3958,00942M19:36:33,76.5,-30.8,5:06:11,152.6,4.03,0.14,3.95,0.08,11.21,0.29,49.78,0.54,0.76,0.05,2.29,0.05,0.7,0.02,2.83,0.1,5.71,0.07,0.99,0.03,0.28,0.01,0.29,0.02,16.99,0.2,628,35,608,20,76,5,APB_481172338ESC09430450996_______M1.DAT:APB_481157517ESC09420450996_______M1.DAT,,
954,Telegraph_Peak_postsieve_dump,-276538.301,8142885.215,-276538.301,137.370127781107,-4.66726465500366,317.714,175.7136,00954M19:32:36,65.1,-34.3,6:30:00,151.7,3.34,0.14,2.93,0.08,10.74,0.29,52.7,0.54,1.33,0.07,2.54,0.05,0.3,0.01,0.98,0.04,4.37,0.06,1.23,0.05,0.36,0.01,0.25,0.02,18.68,0.2,515,30,1231,40,38,5,APB_482238887ESC09550460000_______M1.DAT:APB_482224066ESC09540460000_______M1.DAT,,
974,Bigfork,-276655.0017,8142575.077,-276655.0017,137.370122501872,-4.6672715348761,7.576,59.0129,00974M19:46:53,35.2,-38.4,7:00:00,148.2,2.89,0.14,8.13,0.17,10.32,0.29,44.07,0.54,0.98,0.07,4.87,0.08,1.2,0.02,0.6,0.02,6.08,0.07,0.95,0.03,0.32,0.01,0.5,0.02,18.95,0.2,403,24,640,20,156,5,APB_483998636ESC09740470598_______M3.DAT:APB_484013456ESC09750470598_______M3.DAT,,
975,Albert,-276655.4096,8142574.764,-276655.4096,137.370180252995,-4.66778500207037,7.263,58.605,00975M20:36:02,78,-35.9,4:00:00,148.8,2.5,0.14,7.71,0.17,8.84,0.19,38.69,0.43,0.9,0.05,6.62,0.08,1.71,0.03,0.49,0.02,5.09,0.06,0.95,0.03,0.26,0.01,0.5,0.02,25.58,0.26,471,24,842,30,188,10,APB_484092240ESC09760470598_______M1.DAT,,
1041,Lamoose,-276685.8525,8142578.188,-276685.8525,137.370281435527,-4.66792018760007,10.687,28.1621,01041M19:17:36,71.8,-36.3,8:00:00,150.7,2.12,0.07,3.26,0.08,5.01,0.19,72.56,0.75,1.41,0.09,6.62,0.08,0.58,0.01,1.3,0.05,2.71,0.03,1.48,0.05,0.03,0.01,0.04,0.02,2.68,0.07,120,10,27,5,105,5,APB_489946516ESC10410481970_______M1.DAT:APB_489961336ESC10420481970_______M2.DAT,,
1064,Buckskin_Full_Drill_Tailings_APXS,-276693.8675,8142584.187,-276693.8675,137.37028211019,-4.66792050637818,16.686,20.1471,01064M23:17:29,63.6,-64.4,5:00:00,152.4,1.87,0.07,1.93,0.08,4.75,0.19,72.5,0.75,1.29,0.07,7.55,0.1,0.34,0.01,1,0.04,2.42,0.03,1.65,0.05,0.05,0.01,0.06,0.02,4.42,0.07,99,10,208,10,54,5,APB_492017937ESC10650482542_______M1.DAT:APB_492003117ESC10650482542_______M1.DAT,,
1059,Buckskin_mini_start_hole,-276693.8864,8142584.227,-276693.8864,137.370279900669,-4.66792464712023,16.726,20.1282,01059M19:41:01,37.5,-39.1,4:30:00,148.3,1.97,0.07,0.46,0.83,5.36,0.19,71.47,0.75,1.37,0.07,7.68,0.1,0.29,0.02,0.8,0.02,4.81,0.06,1.7,0.07,0.06,0.01,0.07,0.02,3.77,0.07,87,10,211,10,38,5,APB_491545899ESC10590482542_______M1.DAT:APB_491560719ESC10600482542_______M1.DAT,,
1061,Pellew,-276694.1319,8142584.096,-276694.1319,137.370279833203,-4.66792488831213,16.595,19.8827,01061M22:38:46,79,-60.4,5:00:00,158.3,2.67,0.14,7.38,0.17,7.97,0.19,55.4,0.64,1.17,0.07,8.75,0.1,1.2,0.02,0.81,0.04,5.65,0.07,1.44,0.05,0.14,0.01,0.16,0.02,7,0.13,164,10,156,5,195,10,APB_491734407ESC10620482542_______M1.DAT:APB_491749230ESC10620482542_______M1.DAT,,
1065,Buckskin_presieve_dump,-276694.1462,8142584.092,-276694.1462,137.370024861319,-4.66822790629745,16.591,19.8684,01065M20:04:36,63.9,-42.6,7:30:00,147,2.01,0.07,0.72,0.83,5.45,0.19,74.43,0.75,1.29,0.07,4.85,0.05,0.28,0.01,0.99,0.04,2.99,0.04,1.66,0.05,0.08,0.01,0.08,0.02,4.94,0.07,120,10,294,10,60,5,APB_492094820ESC10660482542_______M2.DAT:APB_492079999ESC10660482542_______M1.DAT,,
1032,Lumpry,-276712.1118,8142568.975,-276712.1118,137.37,-4.66826,1.474,1.9028,01032M20:12:55,52.4,-42.6,7:00:00,148,2.46,0.14,4.14,0.08,6.88,0.19,58.78,0.64,1.65,0.09,9.18,0.1,0.94,0.02,0.44,0.02,5.95,0.07,1.13,0.05,0.45,0.01,0.09,0.02,7.71,0.13,121,10,209,10,601,20,APB_489165776ESC10330481600_______M1.DAT:APB_489150956ESC10330481600_______M1.DAT,,
998,Ronan_DRT_2,-276714.0146,8142567.501,-276714.0146,137.37,-4.66826,0,0,00998M19:08:12,70.1,-34.7,7:55:28,150.3,2.69,0.14,8.41,0.25,10.44,0.29,44.72,0.54,0.94,0.07,6.46,0.08,1.22,0.02,0.44,0.02,6.63,0.07,1.05,0.03,0.7,0.01,0.35,0.02,15.84,0.2,395,20,432,15,76,5,APB_486128635ESC09980481570_______M1.DAT:APB_486143112ESC09990481570_______M1.DAT,,
